"","admin_level","status","variable","variable_value","numbers"
"1","BFA","Total","freq_detres_adult",NA,3.57069643175341e-06
"2","BFA","Total","freq_detres_enfants",NA,0.0143944846966798
"3","BFA","Total","freq_detres_adult",NA,3.57069643175341e-06
"4","BFA","Total","freq_detres_enfants",NA,0.0143944846966798
"5","BFA","host","freq_detres_adult",NA,4.92773786862853e-06
"6","BFA","host","freq_detres_enfants",NA,0.0141503353581009
"7","BFA","pdi","freq_detres_adult",NA,1.82156923504498e-05
"8","BFA","pdi","freq_detres_enfants",NA,0.0165468872630004
"9","boucle_du_mouhoun","Total","freq_detres_adult",NA,6.17240812722711e-06
"10","boucle_du_mouhoun","Total","freq_detres_enfants",NA,0.00112913558075587
"11","cascades","Total","freq_detres_adult",NA,3.88171692497588e-05
"12","cascades","Total","freq_detres_enfants",NA,0.00134422365157815
"13","centre","Total","freq_detres_adult",NA,0
"14","centre","Total","freq_detres_enfants",NA,0.0171541447810707
"15","centre_est","Total","freq_detres_adult",NA,4.09682902910357e-05
"16","centre_est","Total","freq_detres_enfants",NA,0.00513678872977729
"17","centre_nord","Total","freq_detres_adult",NA,2.59802620912132e-05
"18","centre_nord","Total","freq_detres_enfants",NA,0.0142131012971409
"19","centre_ouest","Total","freq_detres_adult",NA,0.000110204598248165
"20","centre_ouest","Total","freq_detres_enfants",NA,0.012384772591505
"21","centre_sud","Total","freq_detres_adult",NA,2.73051642902769e-05
"22","centre_sud","Total","freq_detres_enfants",NA,0
"23","est","Total","freq_detres_adult",NA,7.59577965077009e-05
"24","est","Total","freq_detres_enfants",NA,0.0314302404875507
"25","hauts_bassins","Total","freq_detres_adult",NA,6.60297046801879e-05
"26","hauts_bassins","Total","freq_detres_enfants",NA,0.00489352586183002
"27","nord","Total","freq_detres_adult",NA,5.08690596108176e-05
"28","nord","Total","freq_detres_enfants",NA,0.0183715028408228
"29","plateau_central","Total","freq_detres_adult",NA,0.000110912439013637
"30","plateau_central","Total","freq_detres_enfants",NA,0.0265094801090016
"31","sahel","Total","freq_detres_adult",NA,2.40559481440478e-05
"32","sahel","Total","freq_detres_enfants",NA,0.0179496464517744
"33","sud_ouest","Total","freq_detres_adult",NA,0.000129186915731785
"34","sud_ouest","Total","freq_detres_enfants",NA,0.010205526113875
"35","boucle_du_mouhoun","host","freq_detres_adult",NA,7.02840857549177e-06
"36","boucle_du_mouhoun","host","freq_detres_enfants",NA,0.00095992736880219
"37","boucle_du_mouhoun","pdi","freq_detres_adult",NA,0.000259818225564318
"38","boucle_du_mouhoun","pdi","freq_detres_enfants",NA,0.0140051203288553
"39","cascades","host","freq_detres_adult",NA,4.5260324342401e-05
"40","cascades","host","freq_detres_enfants",NA,0
"41","cascades","pdi","freq_detres_adult",NA,0.00150850309711306
"42","cascades","pdi","freq_detres_enfants",NA,0.110097469676075
"43","centre","host","freq_detres_adult",NA,0
"44","centre","host","freq_detres_enfants",NA,0.0171541447810707
"45","centre_est","host","freq_detres_adult",NA,5.20380787118157e-05
"46","centre_est","host","freq_detres_enfants",NA,0.00368705027261149
"47","centre_est","pdi","freq_detres_adult",NA,0.00178099808712138
"48","centre_est","pdi","freq_detres_enfants",NA,0.0719651163857735
"49","centre_nord","host","freq_detres_adult",NA,4.65758164821029e-05
"50","centre_nord","host","freq_detres_enfants",NA,0.0161026210968473
"51","centre_nord","pdi","freq_detres_adult",NA,5.81441427682871e-05
"52","centre_nord","pdi","freq_detres_enfants",NA,0.00986423494011992
"53","centre_ouest","host","freq_detres_adult",NA,0.000110204598248165
"54","centre_ouest","host","freq_detres_enfants",NA,0.012384772591505
"55","centre_sud","host","freq_detres_adult",NA,2.73051642902769e-05
"56","centre_sud","host","freq_detres_enfants",NA,0
"57","est","host","freq_detres_adult",NA,0.000100336270296576
"58","est","host","freq_detres_enfants",NA,0.0312652830032541
"59","est","pdi","freq_detres_adult",NA,0.000757199560885108
"60","est","pdi","freq_detres_enfants",NA,0.039811749655125
"61","hauts_bassins","host","freq_detres_adult",NA,9.06684045769844e-05
"62","hauts_bassins","host","freq_detres_enfants",NA,0.00479448096011104
"63","hauts_bassins","pdi","freq_detres_adult",NA,0.00128295699699173
"64","hauts_bassins","pdi","freq_detres_enfants",NA,0.0169241599259141
"65","nord","host","freq_detres_adult",NA,7.08665626735951e-05
"66","nord","host","freq_detres_enfants",NA,0.0179512484623771
"67","nord","pdi","freq_detres_adult",NA,0.000327395075700386
"68","nord","pdi","freq_detres_enfants",NA,0.0241460819609276
"69","plateau_central","host","freq_detres_adult",NA,0.000174352837543709
"70","plateau_central","host","freq_detres_enfants",NA,0.0238435385898114
"71","plateau_central","pdi","freq_detres_adult",NA,0.00148177361809933
"72","plateau_central","pdi","freq_detres_enfants",NA,0.119366382377915
"73","sahel","host","freq_detres_adult",NA,4.78263077097576e-05
"74","sahel","host","freq_detres_enfants",NA,0.0186393143247406
"75","sahel","pdi","freq_detres_adult",NA,3.35558796934863e-05
"76","sahel","pdi","freq_detres_enfants",NA,0.0163214262509416
"77","sud_ouest","host","freq_detres_adult",NA,0.000129186915731785
"78","sud_ouest","host","freq_detres_enfants",NA,0.010205526113875
"79","bale","Total","freq_detres_adult",NA,7.06771098048132e-05
"80","bale","Total","freq_detres_enfants",NA,0
"81","bam","Total","freq_detres_adult",NA,3.47296020158334e-05
"82","bam","Total","freq_detres_enfants",NA,0.00331720338932398
"83","banwa","Total","freq_detres_adult",NA,0
"84","banwa","Total","freq_detres_enfants",NA,0
"85","gnagna","Total","freq_detres_adult",NA,0.000455928116832057
"86","gnagna","Total","freq_detres_enfants",NA,0.0253157044006017
"87","gourma","Total","freq_detres_adult",NA,0.000302549228589195
"88","gourma","Total","freq_detres_enfants",NA,0.0393090000202201
"89","komonjdjari","Total","freq_detres_adult",NA,0.000262460982916843
"90","komonjdjari","Total","freq_detres_enfants",NA,0.0163583771466773
"91","kompienga","Total","freq_detres_adult",NA,0.000893870547983375
"92","kompienga","Total","freq_detres_enfants",NA,0.0342938809108128
"93","kossi","Total","freq_detres_adult",NA,3.80966441938018e-05
"94","kossi","Total","freq_detres_enfants",NA,0.000784150538211381
"95","loroum","Total","freq_detres_adult",NA,0.000336152715110973
"96","loroum","Total","freq_detres_enfants",NA,0.0334101687034112
"97","mouhoun","Total","freq_detres_adult",NA,6.77373566139793e-05
"98","mouhoun","Total","freq_detres_enfants",NA,0
"99","namentenga","Total","freq_detres_adult",NA,0.000158125163611219
"100","namentenga","Total","freq_detres_enfants",NA,0.0287492638737203
"101","nayala","Total","freq_detres_adult",NA,9.90149950274282e-06
"102","nayala","Total","freq_detres_enfants",NA,0.00372404785217176
"103","oudalan","Total","freq_detres_adult",NA,6.87688648455996e-05
"104","oudalan","Total","freq_detres_enfants",NA,0.0120594542117974
"105","passore","Total","freq_detres_adult",NA,0.000287063301438777
"106","passore","Total","freq_detres_enfants",NA,0.0178204656011962
"107","sanmatenga","Total","freq_detres_adult",NA,6.06807802131881e-05
"108","sanmatenga","Total","freq_detres_enfants",NA,0.0132070519488427
"109","seno","Total","freq_detres_adult",NA,6.37997822273236e-05
"110","seno","Total","freq_detres_enfants",NA,0.0154290720773652
"111","soum","Total","freq_detres_adult",NA,0.000154111684976783
"112","soum","Total","freq_detres_enfants",NA,0.0235409028989279
"113","sourou","Total","freq_detres_adult",NA,3.92522146545883e-05
"114","sourou","Total","freq_detres_enfants",NA,0.00244323379343273
"115","tapoa","Total","freq_detres_adult",NA,0.000272655927907639
"116","tapoa","Total","freq_detres_enfants",NA,0.0356697294922916
"117","yagha","Total","freq_detres_adult",NA,4.99109213578121e-05
"118","yagha","Total","freq_detres_enfants",NA,0.00999648690742639
"119","yatenga","Total","freq_detres_adult",NA,0.000117358290788685
"120","yatenga","Total","freq_detres_enfants",NA,0.0178521253689781
"121","zondoma","Total","freq_detres_adult",NA,0.000183154902249928
"122","zondoma","Total","freq_detres_enfants",NA,0.0022018341710196
"123","bale","host","freq_detres_adult",NA,7.06771098048132e-05
"124","bale","host","freq_detres_enfants",NA,0
"125","bam","host","freq_detres_adult",NA,1.91650318210058e-05
"126","bam","host","freq_detres_enfants",NA,0.00265591261133182
"127","bam","pdi","freq_detres_adult",NA,0.000305282297320228
"128","bam","pdi","freq_detres_enfants",NA,0.00557616764103427
"129","banwa","host","freq_detres_adult",NA,0
"130","banwa","host","freq_detres_enfants",NA,0
"131","gnagna","host","freq_detres_adult",NA,0.000455928116832057
"132","gnagna","host","freq_detres_enfants",NA,0.0253157044006017
"133","gourma","host","freq_detres_adult",NA,0.000513413056426679
"134","gourma","host","freq_detres_enfants",NA,0.0398941641186623
"135","gourma","pdi","freq_detres_adult",NA,0.00148214119304764
"136","gourma","pdi","freq_detres_enfants",NA,0.0292382181906805
"137","komonjdjari","host","freq_detres_adult",NA,0.000374672492663009
"138","komonjdjari","host","freq_detres_enfants",NA,0.0160126928972463
"139","komonjdjari","pdi","freq_detres_adult",NA,0.00193251077746395
"140","komonjdjari","pdi","freq_detres_enfants",NA,0.0242424242424242
"141","kompienga","host","freq_detres_adult",NA,0.000959107664100707
"142","kompienga","host","freq_detres_enfants",NA,0.031388532542902
"143","kompienga","pdi","freq_detres_adult",NA,0.0223214285714286
"144","kompienga","pdi","freq_detres_enfants",NA,0.107692307692308
"145","kossi","host","freq_detres_adult",NA,4.76236571464387e-05
"146","kossi","host","freq_detres_enfants",NA,0
"147","kossi","pdi","freq_detres_adult",NA,0.000730015763048446
"148","kossi","pdi","freq_detres_enfants",NA,0.0198478142035015
"149","loroum","host","freq_detres_adult",NA,0.000635873372481741
"150","loroum","host","freq_detres_enfants",NA,0.0344587519389501
"151","loroum","pdi","freq_detres_adult",NA,0.00079750547244677
"152","loroum","pdi","freq_detres_enfants",NA,0.0300325860603525
"153","mouhoun","host","freq_detres_adult",NA,6.77373566139793e-05
"154","mouhoun","host","freq_detres_enfants",NA,0
"155","namentenga","host","freq_detres_adult",NA,0.000268294360875507
"156","namentenga","host","freq_detres_enfants",NA,0.0279483380708875
"157","namentenga","pdi","freq_detres_adult",NA,0.000442686543448852
"158","namentenga","pdi","freq_detres_enfants",NA,0.0322791834213623
"159","nayala","host","freq_detres_adult",NA,9.90149950274282e-06
"160","nayala","host","freq_detres_enfants",NA,0.00372404785217176
"161","oudalan","host","freq_detres_adult",NA,0.000124489874683056
"162","oudalan","host","freq_detres_enfants",NA,0.0136466008802529
"163","oudalan","pdi","freq_detres_adult",NA,0.00012969137969138
"164","oudalan","pdi","freq_detres_enfants",NA,0.00548713292374849
"165","passore","host","freq_detres_adult",NA,0.000287063301438777
"166","passore","host","freq_detres_enfants",NA,0.0178204656011962
"167","sanmatenga","host","freq_detres_adult",NA,0.000123280712097896
"168","sanmatenga","host","freq_detres_enfants",NA,0.0167426399627042
"169","sanmatenga","pdi","freq_detres_adult",NA,8.97909011963183e-05
"170","sanmatenga","pdi","freq_detres_enfants",NA,0.00710793910513571
"171","seno","host","freq_detres_adult",NA,0.000135906204558759
"172","seno","host","freq_detres_enfants",NA,0.0135398153383626
"173","seno","pdi","freq_detres_adult",NA,0.000120352674430418
"174","seno","pdi","freq_detres_enfants",NA,0.0188200198558915
"175","soum","host","freq_detres_adult",NA,0.000396458584490243
"176","soum","host","freq_detres_enfants",NA,0.0273763685020286
"177","soum","pdi","freq_detres_adult",NA,0.000124776424232074
"178","soum","pdi","freq_detres_enfants",NA,0.0173825256409843
"179","sourou","host","freq_detres_adult",NA,5.98413866657224e-05
"180","sourou","host","freq_detres_enfants",NA,0.00244344515577191
"181","sourou","pdi","freq_detres_adult",NA,0.000181875541220435
"182","sourou","pdi","freq_detres_enfants",NA,0.00243431780723703
"183","tapoa","host","freq_detres_adult",NA,0.000358218178583884
"184","tapoa","host","freq_detres_enfants",NA,0.0355373016161266
"185","tapoa","pdi","freq_detres_adult",NA,0.00646853146853147
"186","tapoa","pdi","freq_detres_enfants",NA,0.115789473684211
"187","yagha","host","freq_detres_adult",NA,6.8063278875329e-05
"188","yagha","host","freq_detres_enfants",NA,0.0100266381878065
"189","yagha","pdi","freq_detres_adult",NA,0.000453502672532047
"190","yagha","pdi","freq_detres_enfants",NA,0.00726779995072678
"191","yatenga","host","freq_detres_adult",NA,0.000206609853792922
"192","yatenga","host","freq_detres_enfants",NA,0.0179421101735363
"193","yatenga","pdi","freq_detres_adult",NA,0.000460998647419236
"194","yatenga","pdi","freq_detres_enfants",NA,0.0165657172968354
"195","zondoma","host","freq_detres_adult",NA,0.000183154902249928
"196","zondoma","host","freq_detres_enfants",NA,0.0022018341710196
